#,CHIP,txfe,,,,,,,
#,CHIP TxMODE,371,,,,,,,
#,CHIP RxMODE,239,,,,,,,
#,fDAC,11796.48,,,,,,,
#,fADC,5898.24,,,,,,,
#,signalpower,10,,,,,,,
#,board,AD9081_FMCA_EBZ_RevB_50ohmLAM_bestBET,,,,,,,
#,dieversion,R1,,,,,,,
#,adcchannel,1,,,,,,,
#,Balun,MARKI,,,,,,,
FIN [Hz],NPTS,Sample Rate [MHz],DC Mag [dBFS],Fund Freq [MHz],Fund Mag [dBFS],dBtomagnitude,O/P Fullscale to 1,Invert to get A,Invert O/P Fullscal to 1 to get  A
10240000,65536,1,-71.727,0.002,-1.779,0.814798086,1.227297925,1.227297925,0.814798086
20480000,65536,1,-76.897,0.003,-1.693,0.822905566,1.215206265,1.215206265,0.822905566
30720000,65536,1,-75.044,0.005,-1.684,0.823758673,1.213947765,1.213947765,0.823758673
40960000,65536,1,-73.712,0.007,-1.689,0.823284616,1.214646771,1.214646771,0.823284616
51200000,65536,1,-78.139,0.009,-1.712,0.821107464,1.217867385,1.217867385,0.821107464
61440000,65536,1,-76.26,0.01,-1.744,0.818087958,1.222362449,1.222362449,0.818087958
71680000,65536,1,-75.936,0.012,-1.766,0.816018491,1.225462426,1.225462426,0.816018491
81920000,65536,1,-80.548,0.014,-1.792,0.813579506,1.229136173,1.229136173,0.813579506
92160000,65536,1,-79.981,0.016,-1.804,0.81245628,1.230835461,1.230835461,0.81245628
102400000,65536,1,-78.48,0.017,-1.8,0.812830516,1.230268771,1.230268771,0.812830516
112640000,65536,1,-73.135,0.019,-1.825,0.810494365,1.23381487,1.23381487,0.810494365
122880000,65536,1,-72.79,0.021,-1.833,0.809748216,1.234951779,1.234951779,0.809748216
133120000,65536,1,-78.595,0.023,-1.842,0.808909619,1.236232054,1.236232054,0.808909619
143360000,65536,1,-76.426,0.024,-1.858,0.807420924,1.238511376,1.238511376,0.807420924
153600000,65536,1,-75.906,0.026,-1.88,0.805378441,1.241652308,1.241652308,0.805378441
163840000,65536,1,-75.037,0.028,-1.891,0.804359138,1.243225759,1.243225759,0.804359138
174080000,65536,1,-77.719,0.03,-1.906,0.802971258,1.245374589,1.245374589,0.802971258
184320000,65536,1,-72.987,0.031,-1.922,0.801493491,1.247670768,1.247670768,0.801493491
194560000,65536,1,-75.431,0.033,-1.935,0.800294809,1.24953953,1.24953953,0.800294809
204800000,65536,1,-73.102,0.035,-1.962,0.797810963,1.253429755,1.253429755,0.797810963
215040000,65536,1,-77.281,0.036,-1.979,0.796251017,1.255885366,1.255885366,0.796251017
225280000,65536,1,-74.884,0.038,-1.994,0.794877127,1.258056077,1.258056077,0.794877127
235520000,65536,1,-75.827,0.04,-1.986,0.795609573,1.256897898,1.256897898,0.795609573
245760000,65536,1,-77.067,0.042,-1.984,0.79579279,1.25660852,1.25660852,0.79579279
256000000,65536,1,-76.128,0.043,-1.974,0.796709508,1.255162629,1.255162629,0.796709508
266240000,65536,1,-75.868,0.045,-1.961,0.79790282,1.253285456,1.253285456,0.79790282
276480000,65536,1,-79.871,0.047,-1.981,0.796067694,1.256174578,1.256174578,0.796067694
286720000,65536,1,-77.477,0.049,-2.003,0.794053931,1.259360304,1.259360304,0.794053931
296960000,65536,1,-76.626,0.05,-2.031,0.791498325,1.263426553,1.263426553,0.791498325
307200000,65536,1,-74.695,0.052,-2.045,0.790223608,1.265464598,1.265464598,0.790223608
317440000,65536,1,-77.591,0.054,-2.053,0.78949612,1.266630671,1.266630671,0.78949612
327680000,65536,1,-78.558,0.056,-2.049,0.78985978,1.2660475,1.2660475,0.78985978
337920000,65536,1,-77.656,0.057,-2.052,0.789587019,1.266484853,1.266484853,0.789587019
348160000,65536,1,-76.119,0.059,-2.046,0.790132635,1.265610298,1.265610298,0.790132635
358400000,65536,1,-73.544,0.061,-2.051,0.789677929,1.266339052,1.266339052,0.789677929
368640000,65536,1,-77.865,0.063,-2.059,0.788950944,1.26750593,1.26750593,0.788950944
378880000,65536,1,-75.793,0.064,-2.061,0.788769302,1.267797818,1.267797818,0.788769302
389120000,65536,1,-74.441,0.066,-2.077,0.787317673,1.27013534,1.27013534,0.787317673
399360000,65536,1,-77.133,0.068,-2.086,0.786502305,1.27145209,1.27145209,0.786502305
409600000,65536,1,-77.105,0.069,-2.093,0.785868715,1.272477172,1.272477172,0.785868715
419840000,65536,1,-78.054,0.071,-2.088,0.786321227,1.271744886,1.271744886,0.786321227
430080000,65536,1,-77.518,0.073,-2.081,0.786955183,1.270720394,1.270720394,0.786955183
440320000,65536,1,-76.336,0.075,-2.082,0.786864587,1.270866699,1.270866699,0.786864587
450560000,65536,1,-76.515,0.076,-2.08,0.78704579,1.270574105,1.270574105,0.78704579
460800000,65536,1,-75.032,0.078,-2.094,0.785778244,1.27262368,1.27262368,0.785778244
471040000,65536,1,-75.974,0.08,-2.098,0.785416463,1.27320988,1.27320988,0.785416463
481280000,65536,1,-76.775,0.082,-2.121,0.783339452,1.276585773,1.276585773,0.783339452
491520000,65536,1,-75.623,0.083,-2.121,0.783339452,1.276585773,1.276585773,0.783339452
501760000,65536,1,-77.574,0.085,-2.132,0.782348042,1.278203493,1.278203493,0.782348042
512000000,65536,1,-77.448,0.087,-2.127,0.782798527,1.277467912,1.277467912,0.782798527
522240000,65536,1,-76.766,0.089,-2.125,0.782978794,1.277173798,1.277173798,0.782978794
532480000,65536,1,-73.183,0.09,-2.103,0.784964471,1.273943009,1.273943009,0.784964471
542720000,65536,1,-75.237,0.092,-2.093,0.785868715,1.272477172,1.272477172,0.785868715
552960000,65536,1,-76.776,0.094,-2.083,0.786774001,1.271013022,1.271013022,0.786774001
563200000,65536,1,-77.902,0.095,-2.088,0.786321227,1.271744886,1.271744886,0.786321227
573440000,65536,1,-74.65,0.097,-2.1,0.785235635,1.273503081,1.273503081,0.785235635
583680000,65536,1,-73.376,0.099,-2.126,0.782888656,1.277320846,1.277320846,0.782888656
593920000,65536,1,-74.246,0.101,-2.145,0.781177993,1.280117987,1.280117987,0.781177993
604160000,65536,1,-76.192,0.102,-2.148,0.78090823,1.280560201,1.280560201,0.78090823
614400000,65536,1,-79.358,0.104,-2.135,0.782077875,1.278645045,1.278645045,0.782077875
624640000,65536,1,-71.528,0.106,-2.103,0.784964471,1.273943009,1.273943009,0.784964471
634880000,65536,1,-68.863,0.108,-2.09,0.786140191,1.27203775,1.27203775,0.786140191
645120000,65536,1,-75.392,0.109,-2.076,0.787408321,1.269989119,1.269989119,0.787408321
655360000,65536,1,-79.619,0.111,-2.081,0.786955183,1.270720394,1.270720394,0.786955183
665600000,65536,1,-73.857,0.113,-2.1,0.785235635,1.273503081,1.273503081,0.785235635
675840000,65536,1,-75.445,0.115,-2.123,0.783159102,1.276879751,1.276879751,0.783159102
686080000,65536,1,-77.618,0.116,-2.129,0.782618302,1.277762093,1.277762093,0.782618302
696320000,65536,1,-76.497,0.118,-2.128,0.78270841,1.277614994,1.277614994,0.78270841
706560000,65536,1,-77.396,0.12,-2.108,0.784512739,1.274676561,1.274676561,0.784512739
716800000,65536,1,-75.044,0.122,-2.082,0.786864587,1.270866699,1.270866699,0.786864587
727040000,65536,1,-76.182,0.123,-2.063,0.788587702,1.268089773,1.268089773,0.788587702
737280000,65536,1,-76.734,0.125,-2.058,0.78904178,1.267360012,1.267360012,0.78904178
747520000,65536,1,-74.16,0.127,-2.062,0.788678497,1.267943787,1.267943787,0.788678497
757760000,65536,1,-73.616,0.128,-2.067,0.788224628,1.268673884,1.268673884,0.788224628
768000000,65536,1,-79.719,0.13,-2.08,0.78704579,1.270574105,1.270574105,0.78704579
778240000,65536,1,-73.348,0.132,-2.099,0.785326043,1.273356472,1.273356472,0.785326043
788480000,65536,1,-75.725,0.134,-2.107,0.784603064,1.274529817,1.274529817,0.784603064
798720000,65536,1,-76.238,0.135,-2.109,0.784422424,1.274823322,1.274823322,0.784422424
808960000,65536,1,-74.937,0.137,-2.087,0.786411761,1.27159848,1.27159848,0.786411761
819200000,65536,1,-79.606,0.139,-2.058,0.78904178,1.267360012,1.267360012,0.78904178
829440000,65536,1,-78.715,0.141,-2.025,0.792045261,1.26255411,1.26255411,0.792045261
839680000,65536,1,-75.901,0.142,-1.984,0.79579279,1.25660852,1.25660852,0.79579279
849920000,65536,1,-77.956,0.144,-1.975,0.796617789,1.255307143,1.255307143,0.796617789
860160000,65536,1,-77.2,0.146,-2.008,0.793596968,1.260085459,1.260085459,0.793596968
870400000,65536,1,-75.852,0.148,-2.061,0.788769302,1.267797818,1.267797818,0.788769302
880640000,65536,1,-76.02,0.149,-2.115,0.783880751,1.275704243,1.275704243,0.783880751
890880000,65536,1,-77.482,0.151,-2.142,0.781447849,1.279675927,1.279675927,0.781447849
901120000,65536,1,-77.952,0.153,-2.119,0.783519844,1.276291862,1.276291862,0.783519844
911360000,65536,1,-77.851,0.155,-2.07,0.787952431,1.269112144,1.269112144,0.787952431
921600000,65536,1,-72.396,0.156,-2.012,0.793231587,1.260665884,1.260665884,0.793231587
931840000,65536,1,-77.197,0.158,-1.957,0.798270352,1.25270843,1.25270843,0.798270352
942080000,65536,1,-74.441,0.16,-1.956,0.798362262,1.252564215,1.252564215,0.798362262
952320000,65536,1,-75.856,0.161,-1.979,0.796251017,1.255885366,1.255885366,0.796251017
962560000,65536,1,-78.769,0.163,-2.029,0.791680595,1.263135672,1.263135672,0.791680595
972800000,65536,1,-75.716,0.165,-2.081,0.786955183,1.270720394,1.270720394,0.786955183
983040000,65536,1,-77.953,0.167,-2.096,0.785597332,1.272916746,1.272916746,0.785597332
993280000,65536,1,-76.138,0.168,-2.08,0.78704579,1.270574105,1.270574105,0.78704579
1003520000,65536,1,-79.657,0.17,-2.049,0.78985978,1.2660475,1.2660475,0.78985978
1013760000,65536,1,-73.205,0.172,-2,0.794328235,1.258925412,1.258925412,0.794328235
